file,bugChurn,rank
org.apache.activemq.transport.amqp.AmqpProtocolConverter_java,988,1
org.apache.activemq.broker.region.Queue_java,882,2
org.apache.activemq.transport.mqtt.MQTTProtocolConverter_java,847,3
org.apache.activemq.store.kahadb.KahaDBStore_java,465,4
org.apache.activemq.store.kahadb.MessageDatabase_java,459,5
org.apache.activemq.partition.PartitionBroker_java,457,6
org.apache.activemq.advisory.AdvisoryBroker_java,447,7
org.apache.activemq.broker.region.cursors.AbstractStoreCursor_java,440,8
org.apache.activemq.transport.mqtt.MQTTTestSupport_java,417,9
org.apache.activemq.util.RecoverableRandomAccessFile_java,411,10
org.apache.activemq.store.kahadb.scheduler.JobSchedulerImpl_java,379,11
org.apache.activemq.transport.amqp.AmqpNioSslTransport_java,342,12
org.apache.activemq.transport.mqtt.MQTTCodec_java,252,13
org.apache.activemq.transport.mqtt.util.ResourceLoadingSslContext_java,237,14
org.apache.activemq.command.ActiveMQBytesMessage_java,237,14
org.apache.activemq.web.RemoteJMXBrokerFacade_java,232,16
org.apache.activemq.web.MessageServlet_java,223,17
org.apache.activemq.usecases.DurableSubscriptionOfflineTestBase_java,221,18
org.apache.activemq.network.DemandForwardingBridgeSupport_java,205,19
org.apache.activemq.transport.amqp.AmqpTestSupport_java,197,20
org.apache.activemq.ra.ActiveMQResourceAdapter_java,186,21
org.apache.activemq.partition.dto.Partitioning_java,185,22
org.apache.activemq.ActiveMQMessageConsumer_java,185,22
org.apache.activemq.transport.stomp.JmsFrameTranslator_java,184,24
org.apache.activemq.transport.mqtt.MQTTPacketIdGenerator_java,176,25
org.apache.activemq.store.jdbc.JDBCMessageStore_java,167,26
org.apache.activemq.broker.region.RegionBroker_java,163,27
org.apache.activemq.broker.region.BaseDestination_java,151,28
org.apache.activemq.jms.pool.PooledConnectionFactory_java,150,29
org.apache.activemq.broker.scheduler.JobScheduler_java,148,30
org.apache.activemq.broker.region.policy.RetainedMessageSubscriptionRecoveryPolicy_java,145,31
org.apache.activemq.transport.tcp.TcpTransportServer_java,142,32
org.apache.activemq.ActiveMQSession_java,139,33
org.apache.activemq.store.jdbc.adapter.DefaultJDBCAdapter_java,134,34
org.apache.activemq.store.jdbc.JDBCPersistenceAdapter_java,132,35
org.apache.activemq.state.ConnectionStateTracker_java,129,36
org.apache.activemq.broker.region.policy.PolicyEntry_java,127,37
org.apache.activemq.partition.ZooKeeperPartitionBroker_java,125,38
org.apache.activemq.util.DefaultIOExceptionHandler_java,124,39
org.apache.activemq.transport.mqtt.MQTTInactivityMonitor_java,122,40
org.apache.activemq.filter.XalanXPathEvaluator_java,122,40
org.apache.activemq.tool.AbstractJmsClient_java,119,42
org.apache.activemq.broker.BrokerService_java,119,42
org.apache.activemq.broker.region.AbstractRegion_java,101,44
org.apache.activemq.util.ClassLoadingAwareObjectInputStream_java,100,45
org.apache.activemq.store.kahadb.scheduler.JobLocation_java,98,46
org.apache.activemq.openwire.OpenWireFormat_java,97,47
org.apache.activemq.broker.policy.AbortSlowConsumerBase_java,96,48
org.apache.activemq.transport.amqp.joram.ActiveMQSSLAdmin_java,93,49
org.apache.activemq.transport.amqp.AmqpNioTransport_java,92,50
org.apache.activemq.ActiveMQConnection_java,90,51
org.apache.activemq.command.ActiveMQDestination_java,90,51
org.apache.activemq.transport.amqp.joram.ActiveMQNIOPlusSSLAdmin_java,88,53
org.apache.activemq.broker.region.virtual.MappedQueueFilter_java,86,54
org.apache.activemq.transport.stomp.ProtocolConverter_java,83,55
org.apache.activemq.broker.region.DurableTopicSubscription_java,81,56
org.apache.activemq.broker.scheduler.JobSchedulerFacade_java,79,57
org.apache.activemq.util.IdGenerator_java,78,58
org.apache.activemq.transport.nio.NIOOutputStream_java,77,59
org.apache.activemq.store.jdbc.TransactionContext_java,77,59
org.apache.activemq.transport.https.HttpsClientTransport_java,76,61
org.apache.activemq.transport.mqtt.MQTTProtocolSupport_java,74,62
org.apache.activemq.proxy.ProxyConnection_java,74,62
org.apache.activemq.broker.region.virtual.VirtualTopic_java,74,62
org.apache.activemq.TransactionContext_java,69,65
org.apache.activemq.partition.PartitionBrokerPlugin_java,68,66
org.apache.activemq.partition.ZooKeeperPartitionBrokerPlugin_java,68,66
org.apache.activemq.broker.TransportConnection_java,66,68
org.apache.activemq.plugin.RuntimeConfigurationBroker_java,66,68
org.apache.activemq.partition.dto.Target_java,66,68
org.apache.activemq.broker.region.QueueBrowserSubscription_java,64,71
org.apache.activemq.broker.jmx.HealthView_java,62,72
org.apache.activemq.transport.amqp.joram.ActiveMQAdmin_java,60,73
org.apache.activemq.command.ActiveMQStreamMessage_java,59,74
org.apache.activemq.store.jdbc.LeaseDatabaseLocker_java,58,75
org.apache.activemq.transport.failover.FailoverTransport_java,58,75
org.apache.activemq.transport.mqtt.MQTTTransportFilter_java,58,75
org.apache.activemq.console.command.DstatCommand_java,58,75
org.apache.activemq.jaas.LDAPLoginModule_java,57,79
org.apache.activemq.filter.XPathExpression_java,57,79
org.apache.activemq.JmsMultipleClientsTestSupport_java,53,81
org.apache.activemq.ActiveMQPrefetchPolicy_java,52,82
org.apache.activemq.util.BitArrayBin_java,52,82
org.apache.activemq.transport.vm.VMTransportFactory_java,52,82
org.apache.activemq.jms.pool.XaPooledConnectionFactory_java,51,85
org.apache.activemq.web.AjaxListener_java,51,85
org.apache.activemq.security.AuthorizationDestinationInterceptor_java,51,85
org.apache.activemq.SimplePriorityMessageDispatchChannel_java,51,85
org.apache.activemq.filter.DestinationFilter_java,51,85
org.apache.activemq.broker.region.TopicSubscription_java,50,90
org.apache.activemq.broker.util.LoggingBrokerPlugin_java,49,91
org.apache.activemq.security.AuthorizationDestinationFilter_java,48,92
org.apache.activemq.console.command.store.StoreExporter_java,48,92
org.apache.activemq.proxy.ProxyConnector_java,48,92
org.apache.activemq.broker.region.virtual.CompositeDestination_java,47,95
org.apache.activemq.store.PersistenceAdapterSupport_java,47,95
org.apache.activemq.store.IndexListener_java,47,95
org.apache.activemq.filter.JAXPXPathEvaluator_java,46,98
org.apache.activemq.store.kahadb.MultiKahaDBPersistenceAdapter_java,46,98
org.apache.activemq.web.TopicSubscriberQuery_java,45,100
org.apache.activemq.command.XATransactionId_java,45,100
org.apache.activemq.web.MessageListenerServlet_java,44,102
org.apache.activemq.broker.view.ConnectionDotFileInterceptor_java,44,102
org.apache.activemq.transport.amqp.DefaultTrustManager_java,43,104
org.apache.activemq.command.MessageId_java,43,104
org.apache.activemq.spring.SpringSslContext_java,42,106
org.apache.activemq.transport.amqp.AmqpWireFormat_java,39,107
org.apache.activemq.transport.vm.VMTransport_java,39,107
org.apache.activemq.transport.mqtt.IDERunner_java,39,107
org.apache.activemq.network.ConduitBridge_java,38,110
org.apache.activemq.ra.ServerSessionPoolImpl_java,37,111
org.apache.activemq.security.XBeanAuthorizationMap_java,37,111
org.apache.activemq.broker.region.Topic_java,37,111
org.apache.activemq.store.jdbc.JdbcMemoryTransactionStore_java,37,111
org.apache.activemq.CustomPropertiesBean_java,37,111
org.apache.activemq.broker.region.virtual.VirtualDestinationInterceptor_java,35,116
org.apache.activemq.pool.PooledConnectionFactoryBean_java,35,116
org.apache.activemq.plugin.SubQueueSelectorCacheBroker_java,35,116
org.apache.activemq.transport.nio.SelectorManager_java,34,119
org.apache.activemq.filter.PrefixDestinationFilter_java,34,119
org.apache.activemq.transport.http.HttpClientTransport_java,34,119
org.apache.activemq.filter.DestinationMap_java,33,122
org.apache.activemq.broker.inteceptor.MessageInterceptorRegistry_java,33,122
org.apache.activemq.web.BrokerFacadeSupport_java,32,124
org.apache.activemq.jms.pool.XaConnectionPool_java,32,124
org.apache.activemq.broker.SuppressReplyException_java,32,124
org.apache.activemq.store.kahadb.KahaDBTransactionStore_java,32,124
org.apache.activemq.network.MBeanBridgeDestination_java,32,124
org.apache.activemq.broker.region.DestinationFilter_java,31,129
org.apache.activemq.network.jms.JmsConnector_java,31,129
org.apache.activemq.store.kahadb.TempKahaDBStore_java,30,131
org.apache.activemq.transaction.XATransaction_java,30,131
org.apache.activemq.xbean.XBeanBrokerService_java,30,131
org.apache.activemq.transport.amqp.joram.ActiveMQNIOAdmin_java,29,134
org.apache.activemq.command.ConsumerInfo_java,29,134
org.apache.activemq.transport.nio.NIOSSLTransport_java,28,136
org.apache.activemq.transport.stomp.StompTransportFilter_java,28,136
org.apache.activemq.management.SizeStatisticImpl_java,28,136
org.apache.activemq.filter.DestinationMapNode_java,28,136
org.apache.activemq.web.JettyTestSupport_java,27,140
org.apache.activemq.broker.TransportConnector_java,27,140
org.apache.activemq.camel.component.CamelEndpointLoader_java,26,142
org.apache.activemq.spring.ActiveMQConnectionFactory_java,26,142
org.apache.activemq.broker.region.AbstractSubscription_java,26,142
org.apache.activemq.broker.region.PrefetchSubscription_java,26,142
org.apache.activemq.ra.ActiveMQManagedConnection_java,25,146
org.apache.activemq.filter.LogicExpression_java,25,146
org.apache.activemq.spring.ActiveMQXAConnectionFactory_java,25,146
org.apache.activemq.broker.region.QueueSubscription_java,25,146
org.apache.activemq.command.ActiveMQMessage_java,25,146
org.apache.activemq.transport.nio.SelectorSelection_java,24,151
org.apache.activemq.pool.PooledConnectionFactory_java,24,151
org.apache.activemq.thread.Scheduler_java,24,151
org.apache.activemq.security.AuthorizationBroker_java,23,154
org.apache.activemq.broker.jmx.SubscriptionView_java,23,154
org.apache.activemq.transport.stomp.StompTestSupport_java,22,156
org.apache.activemq.web.BrokerFacade_java,22,156
org.apache.activemq.transport.mqtt.MQTTSslTransportFactory_java,21,158
org.apache.activemq.security.SimpleCachedLDAPAuthorizationMap_java,20,159
org.apache.activemq.store.memory.MemoryTransactionStore_java,20,159
org.apache.activemq.broker.region.Subscription_java,20,159
org.apache.activemq.store.kahadb.disk.index.BTreeNode_java,20,159
org.apache.activemq.security.XBeanAuthorizationEntry_java,20,159
org.apache.activemq.store.kahadb.disk.page.PageFile_java,19,164
org.apache.activemq.camel.component.broker.BrokerEndpoint_java,19,164
org.apache.activemq.security.TempDestinationAuthorizationEntry_java,19,164
org.apache.activemq.broker.jmx.ConnectionViewMBean_java,19,164
org.apache.activemq.transport.mqtt.MQTTTransportFactory_java,19,164
org.apache.activemq.pool.XaPooledConnectionFactory_java,18,169
org.apache.activemq.tool.JmsConsumerClient_java,18,169
org.apache.activemq.store.kahadb.scheduler.JobImpl_java,18,169
org.apache.activemq.transport.mqtt.MQTTSubscription_java,18,169
org.apache.activemq.network.NetworkBridgeConfiguration_java,18,169
org.apache.activemq.broker.region.virtual.SelectorAwareVirtualTopicInterceptor_java,18,169
org.apache.activemq.broker.Connection_java,18,169
org.apache.activemq.command.MessagePull_java,18,169
org.apache.activemq.broker.region.policy.AbstractDeadLetterStrategy_java,17,177
org.apache.activemq.command.ProducerInfo_java,17,177
org.apache.activemq.advisory.AdvisorySupport_java,16,179
org.apache.activemq.store.jdbc.AbstractJDBCLocker_java,16,179
org.apache.activemq.broker.view.MessageBrokerView_java,16,179
org.apache.activemq.broker.region.virtual.CompositeTopic_java,16,179
org.apache.activemq.broker.jmx.SubscriptionViewMBean_java,15,183
org.apache.activemq.command.Message_java,15,183
org.apache.activemq.transport.stomp.util.ResourceLoadingSslContext_java,15,183
org.apache.activemq.store.ProxyMessageStore_java,15,183
org.apache.activemq.broker.ProducerBrokerExchange_java,15,183
org.apache.activemq.broker.region.policy.DeadLetterStrategy_java,15,183
org.apache.activemq.broker.BrokerFilter_java,14,189
org.apache.activemq.broker.region.virtual.VirtualDestination_java,14,189
org.apache.activemq.broker.jmx.InactiveDurableSubscriptionView_java,14,189
org.apache.activemq.filter.PropertyExpression_java,14,189
org.apache.activemq.broker.MutableBrokerFilter_java,14,189
org.apache.activemq.broker.Broker_java,14,189
org.apache.activemq.broker.region.cursors.StoreQueueCursor_java,13,195
org.apache.activemq.ra.ServerSessionImpl_java,13,195
org.apache.activemq.transport.TransportLogger_java,13,195
org.apache.activemq.broker.region.policy.AbortSlowAckConsumerStrategy_java,13,195
org.apache.activemq.broker.region.cursors.TopicStorePrefetch_java,13,195
org.apache.activemq.store.memory.MemoryMessageStore_java,12,200
org.apache.activemq.broker.region.virtual.CompositeQueue_java,12,200
org.apache.activemq.store.kahadb.KahaDBPersistenceAdapter_java,12,200
org.apache.activemq.ra.ActiveMQEndpointWorker_java,12,200
org.apache.activemq.network.LdapNetworkConnector_java,12,200
org.apache.activemq.broker.region.cursors.QueueStorePrefetch_java,12,200
org.apache.activemq.broker.ErrorBroker_java,12,200
org.apache.activemq.broker.EmptyBroker_java,12,200
org.apache.activemq.ra.LocalAndXATransaction_java,12,200
org.apache.activemq.thread.DedicatedTaskRunner_java,12,200
org.apache.activemq.store.jdbc.Statements_java,12,200
org.apache.activemq.transport.tcp.SslTransport_java,11,211
org.apache.activemq.broker.region.cursors.FilePendingMessageCursor_java,11,211
org.apache.activemq.broker.region.virtual.VirtualTopicInterceptor_java,11,211
org.apache.activemq.broker.region.cursors.AbstractPendingMessageCursor_java,11,211
org.apache.activemq.store.AbstractMessageStore_java,11,211
org.apache.activemq.broker.LockableServiceSupport_java,10,216
org.apache.activemq.transaction.LocalTransaction_java,10,216
org.apache.activemq.transport.vm.VMTransportServer_java,10,216
org.apache.activemq.broker.jmx.ConnectionView_java,10,216
org.apache.activemq.transport.udp.UdpTransportServer_java,10,216
org.apache.activemq.transport.mqtt.strategy.MQTTVirtualTopicSubscriptionStrategy_java,10,216
org.apache.activemq.thread.PooledTaskRunner_java,10,216
org.apache.activemq.transport.mqtt.MQTTNIOTransportFactory_java,10,216
org.apache.activemq.network.DemandSubscription_java,9,224
org.apache.activemq.store.jdbc.JDBCIOExceptionHandler_java,9,224
org.apache.activemq.broker.region.cursors.OrderedPendingList_java,9,224
org.apache.activemq.broker.util.RedeliveryPlugin_java,9,224
org.apache.activemq.store.ProxyTopicMessageStore_java,9,224
org.apache.activemq.transport.TransportServerSupport_java,9,224
org.apache.activemq.command.MessageAck_java,9,224
org.apache.activemq.broker.region.cursors.PrioritizedPendingList_java,9,224
org.apache.activemq.filter.CompositeDestinationFilter_java,8,232
org.apache.activemq.store.jdbc.DefaultDatabaseLocker_java,8,232
org.apache.activemq.thread.TaskRunnerFactory_java,8,232
org.apache.activemq.security.LDAPAuthorizationMap_java,8,232
org.apache.activemq.broker.region.cursors.PendingMessageCursor_java,8,232
org.apache.activemq.broker.scheduler.JobSchedulerStore_java,8,232
org.apache.activemq.transport.amqp.AmqpTransportFilter_java,8,232
org.apache.activemq.RedeliveryPolicy_java,8,232
org.apache.activemq.transport.mqtt.MQTTAuthTestSupport_java,8,232
org.apache.activemq.broker.region.Destination_java,7,241
org.apache.activemq.store.SharedFileLocker_java,7,241
org.apache.activemq.jms.pool.GenericResourceManager_java,7,241
org.apache.activemq.store.kahadb.disk.journal.DataFile_java,7,241
org.apache.activemq.console.command.StartCommand_java,7,241
org.apache.activemq.transport.TransportServer_java,7,241
org.apache.activemq.broker.region.TopicRegion_java,7,241
org.apache.activemq.util.LockFile_java,6,248
org.apache.activemq.broker.Connector_java,6,248
org.apache.activemq.transport.ws.WSTransportFactory_java,6,248
org.apache.activemq.ActiveMQConnectionConsumer_java,6,248
org.apache.activemq.store.kahadb.disk.index.BTreeIndex_java,6,248
org.apache.activemq.transport.wss.WSSTransportFactory_java,5,253
org.apache.activemq.broker.region.CompositeDestinationInterceptor_java,5,253
org.apache.activemq.store.kahadb.disk.journal.DataFileAccessor_java,5,253
org.apache.activemq.transport.udp.UdpTestSupport_java,5,253
org.apache.activemq.transport.stomp.Stomp_java,5,253
org.apache.activemq.store.jdbc.JDBCAdapter_java,5,253
org.apache.activemq.EmbeddedBrokerTestSupport_java,5,253
org.apache.activemq.openwire.v10.MessageMarshaller_java,5,253
org.apache.activemq.karaf.commands.ActiveMQCommandSupport_java,5,253
org.apache.activemq.transport.stomp.FrameTranslator_java,5,253
org.apache.activemq.openwire.v10.MessageIdMarshaller_java,5,253
org.apache.activemq.usage.Usage_java,4,264
org.apache.activemq.store.jdbc.JDBCTopicMessageStore_java,4,264
org.apache.activemq.store.kahadb.disk.journal.DataFileAppender_java,4,264
org.apache.activemq.transport.mqtt.MQTTNIOSSLTransport_java,4,264
org.apache.activemq.store.journal.JournalPersistenceAdapter_java,4,264
org.apache.activemq.store.jdbc.JDBCTestMemory_java,4,264
org.apache.activemq.broker.region.cursors.VMPendingMessageCursor_java,4,264
org.apache.activemq.ra.ActiveMQConnectionFactory_java,4,264
org.apache.activemq.state.TransactionState_java,4,264
org.apache.activemq.broker.jmx.ProducerView_java,4,264
org.apache.activemq.transport.mqtt.MQTTNIOSSLTransportFactory_java,4,264
org.apache.activemq.store.kahadb.Visitor_java,4,264
org.apache.activemq.plugin.DiscardingDLQBroker_java,4,264
org.apache.activemq.transport.TransportServerFilter_java,4,264
org.apache.activemq.tool.JmsProducerClient_java,4,264
org.apache.activemq.broker.ConnectionContext_java,4,264
org.apache.activemq.filter.ComparisonExpression_java,3,280
org.apache.activemq.store.MessageStore_java,3,280
org.apache.activemq.broker.TransactionBroker_java,3,280
org.apache.activemq.broker.scheduler.CronParser_java,3,280
org.apache.activemq.broker.region.cursors.PendingList_java,3,280
org.apache.activemq.broker.jmx.BrokerView_java,3,280
org.apache.activemq.broker.scheduler.SchedulerBroker_java,3,280
org.apache.activemq.store.kahadb.disk.journal.CallerBufferingDataFileAppender_java,3,280
org.apache.activemq.transport.stomp.StompFrame_java,3,280
org.apache.activemq.plugin.StatisticsBroker_java,3,280
org.apache.activemq.network.DurableConduitBridge_java,3,280
