file,bugChurn,rank
org.apache.activemq.store.kahadb.MessageDatabase_java,1473,1
org.apache.activemq.transport.failover.FailoverTransport_java,639,2
org.apache.activemq.broker.region.Queue_java,470,3
org.apache.activemq.store.jdbc.adapter.DefaultJDBCAdapter_java,423,4
org.apache.activemq.broker.TransportConnection_java,370,5
org.apache.activemq.network.DemandForwardingBridgeSupport_java,358,6
org.apache.activemq.web.MessageListenerServlet_java,353,7
org.apache.activemq.ActiveMQConnection_java,348,8
org.apache.activemq.network.jms.JmsConnector_java,335,9
org.apache.activemq.store.jdbc.Statements_java,292,10
org.apache.activemq.transport.https.Krb5AndCertsSslSocketConnector_java,283,11
org.apache.activemq.TransactionContext_java,274,12
org.apache.activemq.broker.region.RegionBroker_java,269,13
org.apache.activemq.store.kahadb.KahaDBStore_java,248,14
org.apache.activemq.broker.scheduler.CronParser_java,248,14
org.apache.activemq.network.jms.ReconnectionPolicy_java,244,16
org.apache.activemq.network.jms.JmsTopicConnector_java,212,17
org.apache.activemq.network.jms.JmsQueueConnector_java,211,18
org.apache.activemq.broker.BrokerService_java,199,19
org.apache.activemq.console.command.AbstractJmxCommand_java,192,20
org.apache.activemq.filter.ComparisonExpression_java,183,21
org.apache.activemq.broker.region.AbstractRegion_java,177,22
org.apache.activemq.transport.failover.FailoverClusterTestSupport_java,151,23
org.apache.activemq.usecases.AbstractTwoBrokerNetworkConnectorWildcardIncludedDestinationTestSupport_java,147,24
org.apache.activemq.broker.jmx.BrokerView_java,146,25
org.apache.activemq.web.AjaxListener_java,143,26
org.apache.activemq.broker.scheduler.SchedulerBroker_java,138,27
org.apache.activemq.usecases.DurableSubscriptionHangTestCase_java,135,28
org.apache.activemq.transport.stomp.StompTransportFilter_java,134,29
org.apache.activemq.transport.stomp.ProtocolConverter_java,126,30
org.apache.activemq.broker.TransportConnector_java,115,31
org.apache.activemq.util.DefaultIOExceptionHandler_java,114,32
org.apache.activemq.transport.http.HttpTunnelServlet_java,113,33
org.apache.activemq.console.command.PurgeCommand_java,108,34
org.apache.activemq.broker.region.BaseDestination_java,100,35
org.apache.activemq.util.ProducerThread_java,100,35
org.apache.activemq.store.jdbc.JDBCTopicMessageStore_java,95,37
