file,bugChurn,rank
org.apache.hadoop.hive.ql.optimizer.calcite.rules.views.SubstitutionVisitor_java,2458,1
org.apache.hadoop.hive.llap.cache.BuddyAllocator_java,1693,2
org.apache.hadoop.hive.ql.optimizer.physical.Vectorizer_java,1484,3
org.apache.hadoop.hive.ql.io.orc.OrcRawRecordMerger_java,1017,4
org.apache.hadoop.hive.metastore.ObjectStore_java,785,5
org.apache.hadoop.hive.ql.io.orc.encoded.EncodedReaderImpl_java,732,6
org.apache.hadoop.hive.ql.optimizer.calcite.rules.HiveSubQueryRemoveRule_java,658,7
org.apache.hadoop.hive.ql.exec.vector.expressions.aggregates.VectorUDAFVarSampTimestamp_java,533,8
org.apache.hadoop.hive.ql.exec.vector.expressions.aggregates.VectorUDAFStdSampTimestamp_java,533,8
org.apache.hadoop.hive.ql.exec.vector.expressions.aggregates.VectorUDAFVarPopTimestamp_java,533,8
org.apache.hadoop.hive.ql.exec.vector.expressions.aggregates.VectorUDAFStdPopTimestamp_java,533,8
org.apache.hadoop.hive.metastore.HiveAlterHandler_java,527,12
org.apache.hadoop.hive.ql.exec.vector.expressions.aggregates.VectorUDAFAvgDecimal_java,521,13
org.apache.hadoop.hive.ql.exec.vector.VectorDeserializeRow_java,492,14
org.apache.hadoop.hive.ql.exec.vector.expressions.aggregates.VectorUDAFAvgTimestamp_java,488,15
org.apache.hadoop.hive.ql.exec.vector.VectorAssignRow_java,410,16
org.apache.hadoop.hive.llap.daemon.impl.TaskExecutorService_java,397,17
org.apache.hadoop.hive.accumulo.HiveAccumuloHelper_java,396,18
org.apache.hadoop.hive.ql.optimizer.DynamicPartitionPruningOptimization_java,396,18
org.apache.hadoop.hive.ql.exec.spark.SparkReduceRecordHandler_java,347,20
org.apache.hadoop.hive.metastore.MetaStoreDirectSql_java,344,21
org.apache.hadoop.hive.tools.GenVectorCode_java,337,22
org.apache.hadoop.hive.ql.exec.vector.VectorizationContext_java,308,23
org.apache.hadoop.hive.ql.optimizer.calcite.rules.views.MaterializedViewSubstitutionVisitor_java,292,24
org.apache.hadoop.hive.ql.exec.vector.expressions.CastStringToLong_java,271,25
org.apache.hadoop.hive.ql.io.parquet.timestamp.NanoTimeUtils_java,271,25
org.apache.hadoop.hive.ql.parse.SemanticAnalyzer_java,255,27
org.apache.hadoop.hive.ql.parse.TezCompiler_java,252,28
org.apache.hadoop.hive.llap.daemon.rpc.LlapDaemonProtocolProtos_java,250,29
org.apache.hive.service.cli.operation.LogDivertAppender_java,249,30
org.apache.hadoop.hive.accumulo.mr.HiveAccumuloTableInputFormat_java,244,31
org.apache.hadoop.hive.ql.parse.CalcitePlanner_java,235,32
org.apache.hadoop.hive.ql.Driver_java,234,33
org.apache.hadoop.hive.llap.daemon.impl.QueryTracker_java,202,34
org.apache.hadoop.hive.ql.exec.vector.udf.VectorUDFAdaptor_java,194,35
org.apache.hadoop.hive.llap.cache.SerDeLowLevelCacheImpl_java,193,36
org.apache.hadoop.hive.ql.exec.vector.expressions.VectorExpressionWriterFactory_java,188,37
org.apache.hadoop.hive.common.JvmMetrics_java,187,38
org.apache.hadoop.hive.ql.io.orc.VectorizedOrcAcidRowBatchReader_java,183,39
org.apache.hadoop.hive.ql.optimizer.stats.annotation.StatsRulesProcFactory_java,181,40
org.apache.hive.beeline.Commands_java,179,41
org.apache.hadoop.hive.ql.metadata.Hive_java,155,42
org.apache.hadoop.hive.metastore.api.GetOpenTxnsResponse_java,150,43
org.apache.hadoop.hive.ql.parse.ProcessAnalyzeTable_java,147,44
org.apache.hadoop.hive.ql.QueryState_java,146,45
org.apache.hadoop.hive.conf.HiveConf_java,142,46
org.apache.hadoop.hive.ql.exec.vector.VectorizedRowBatchCtx_java,141,47
org.apache.hadoop.hive.ql.plan.ExprNodeDescUtils_java,139,48
org.apache.hadoop.hive.ql.exec.Utilities_java,138,49
org.apache.hadoop.hive.llap.cache.LowLevelLrfuCachePolicy_java,136,50
org.apache.hadoop.hive.ql.exec.vector.reducesink.VectorReduceSinkCommonOperator_java,130,51
org.apache.hadoop.hive.ql.exec.vector.reducesink.VectorReduceSinkObjectHashOperator_java,127,52
org.apache.hadoop.hive.llap.metrics.LlapDaemonJvmMetrics_java,123,53
org.apache.hadoop.hive.ql.exec.vector.VectorMapOperator_java,123,53
org.apache.hadoop.hive.ql.parse.spark.SplitOpTreeForDPP_java,120,55
org.apache.hadoop.hive.druid.serde.DruidSerDe_java,119,56
org.apache.hadoop.hive.llap.cache.LlapDataBuffer_java,119,56
org.apache.hadoop.hive.common.ValidReadTxnList_java,115,58
org.apache.hadoop.hive.ql.plan.PTFDesc_java,112,59
org.apache.hadoop.hive.llap.io.encoded.OrcEncodedDataReader_java,112,59
org.apache.hadoop.hive.ql.exec.DDLTask_java,111,61
org.apache.hadoop.hive.ql.exec.tez.TezTask_java,110,62
org.apache.hadoop.hive.llap.daemon.impl.LlapDaemon_java,109,63
org.apache.hadoop.hive.common.FileUtils_java,109,63
org.apache.hive.service.cli.operation.SQLOperationDisplay_java,108,65
org.apache.hadoop.hive.ql.metadata.HiveMetaStoreChecker_java,106,66
org.apache.hive.common.util.Murmur3_java,104,67
org.apache.hadoop.hive.metastore.txn.TxnHandler_java,102,68
org.apache.hadoop.hive.llap.tezplugins.LlapTaskSchedulerService_java,101,69
org.apache.hadoop.hive.ql.session.SessionState_java,99,70
org.apache.hadoop.hive.ql.io.parquet.ParquetRecordReaderBase_java,95,71
org.apache.hive.service.cli.operation.Operation_java,94,72
org.apache.hadoop.hive.ql.io.parquet.MapredParquetInputFormat_java,94,72
org.apache.hadoop.hive.llap.io.encoded.SerDeEncodedDataReader_java,93,74
org.apache.hadoop.hive.ql.optimizer.calcite.rules.views.HiveMaterializedViewFilterScanRule_java,92,75
org.apache.hadoop.hive.llap.io.api.impl.LlapRecordReader_java,89,76
org.apache.hadoop.hive.ql.io.orc.OrcInputFormat_java,88,77
org.apache.hadoop.hive.ql.exec.vector.VectorGroupByOperator_java,87,78
org.apache.hadoop.hive.metastore.messaging.EventUtils_java,87,78
org.apache.hadoop.hive.ql.io.orc.OrcRecordUpdater_java,87,78
org.apache.hadoop.hive.ql.exec.tez.ReduceRecordSource_java,86,81
org.apache.hadoop.hive.ql.plan.ReduceSinkDesc_java,85,82
org.apache.hadoop.hive.ql.plan.GroupByDesc_java,84,83
org.apache.hadoop.hive.accumulo.mr.HiveAccumuloTableOutputFormat_java,84,83
org.apache.hadoop.hive.llap.shufflehandler.ShuffleHandler_java,81,85
org.apache.hadoop.hive.ql.exec.tez.InterruptibleProcessing_java,79,86
org.apache.hadoop.hive.accumulo.AccumuloStorageHandler_java,77,87
org.apache.hive.service.cli.operation.OperationManager_java,77,87
org.apache.hive.common.util.HiveStringUtils_java,77,87
org.apache.hadoop.hive.ql.optimizer.calcite.rules.HiveProjectSortTransposeRule_java,76,90
