file,bugChurn,rank
org.apache.hadoop.hive.ql.parse.SemanticAnalyzer_java,935,1
org.apache.hadoop.hive.llap.tezplugins.LlapTaskSchedulerService_java,613,2
org.apache.hadoop.hive.metastore.HiveMetaStore_java,592,3
org.apache.hadoop.hive.ql.exec.vector.VectorizationContext_java,549,4
org.apache.hadoop.hive.llap.io.api.impl.LlapRecordReader_java,518,5
org.apache.hadoop.hive.metastore.api.Table_java,460,6
org.apache.hadoop.hive.ql.io.AcidUtils_java,427,7
org.apache.hadoop.hive.ql.optimizer.physical.Vectorizer_java,420,8
org.apache.hadoop.hive.ql.txn.compactor.CompactorMR_java,412,9
org.apache.hadoop.hive.ql.exec.vector.VectorHashKeyWrapperBatch_java,394,10
org.apache.hadoop.hive.metastore.tools.HiveMetaTool_java,392,11
org.apache.hadoop.hive.ql.io.parquet.convert.ETypeConverter_java,384,12
org.apache.hadoop.hive.druid.DruidStorageHandler_java,345,13
org.apache.hadoop.hive.hbase.HiveHBaseTableInputFormat_java,316,14
org.apache.hadoop.hive.ql.metadata.Hive_java,286,15
org.apache.hadoop.hive.ql.exec.tez.CustomPartitionVertex_java,270,16
org.apache.hadoop.hive.ql.exec.FileSinkOperator_java,264,17
org.apache.hadoop.hive.ql.io.orc.encoded.EncodedReaderImpl_java,258,18
org.apache.hadoop.hive.ql.exec.vector.VectorSerializeRow_java,257,19
org.apache.hadoop.hive.ql.parse.CalcitePlanner_java,247,20
org.apache.hadoop.hive.ql.optimizer.SortedDynPartitionTimeGranularityOptimizer_java,237,21
org.apache.hadoop.hive.ql.optimizer.ConvertJoinMapJoin_java,234,22
org.apache.hive.jdbc.Utils_java,220,23
org.apache.hadoop.hive.ql.io.orc.VectorizedOrcAcidRowBatchReader_java,193,24
org.apache.hadoop.hive.hbase.HiveHBaseInputFormatUtil_java,186,25
org.apache.hadoop.hive.druid.DruidStorageHandlerUtils_java,183,26
org.apache.hadoop.hive.ql.exec.vector.VectorHashKeyWrapper_java,181,27
