file,bugChurn,rank
org.apache.hadoop.hive.ql.exec.tez.DagUtils_java,1159,1
org.apache.hadoop.hive.ql.parse.MapReduceCompiler_java,1098,2
org.apache.hadoop.hive.ql.optimizer.GenMapRedUtils_java,1015,3
org.apache.hadoop.hive.ql.parse.SemanticAnalyzer_java,1000,4
org.apache.hadoop.hive.ql.udf.ptf.MatchPath_java,919,5
org.apache.hadoop.hive.ql.exec.Utilities_java,884,6
org.apache.hadoop.hive.metastore.MetaStoreDirectSql_java,882,7
org.apache.hadoop.hive.ql.optimizer.GenMRFileSink1_java,609,8
org.apache.hive.beeline.HiveSchemaTool_java,514,9
org.apache.hive.hcatalog.templeton.tool.TempletonControllerJob_java,511,10
org.apache.hadoop.hive.ql.exec.MapOperator_java,496,11
org.apache.hadoop.hive.ql.io.orc.OrcInputFormat_java,460,12
org.apache.hadoop.hive.ql.history.HiveHistory_java,400,13
org.apache.hadoop.hive.ql.exec.TopNHash_java,396,14
org.apache.hadoop.hive.ql.exec.tez.ReduceRecordProcessor_java,393,15
org.apache.hadoop.hive.ql.parse.TaskCompiler_java,381,16
org.apache.hadoop.hive.ql.exec.tez.TezTask_java,377,17
org.apache.hive.hcatalog.hbase.ManyMiniCluster_java,370,18
org.apache.hadoop.hive.ql.history.HiveHistoryImpl_java,363,19
org.apache.hive.hcatalog.templeton.tool.LaunchMapper_java,363,19
org.apache.hadoop.hive.ql.exec.HashTableSinkOperator_java,348,21
org.apache.hadoop.hive.ql.exec.DDLTask_java,342,22
org.apache.hadoop.hive.serde2.io.TimestampWritable_java,320,23
org.apache.hadoop.hive.metastore.ObjectStore_java,310,24
org.apache.hadoop.hive.ql.exec.tez.MapRecordProcessor_java,293,25
org.apache.hadoop.hive.ql.optimizer.MapJoinProcessor_java,293,25
org.apache.hadoop.hive.ql.parse.TezCompiler_java,288,27
org.apache.hadoop.hive.ql.exec.tez.TezSessionState_java,285,28
org.apache.hadoop.hive.metastore.parser.ExpressionTree_java,279,29
org.apache.hadoop.hive.ql.parse.GenTezWork_java,275,30
org.apache.hadoop.hive.ql.Driver_java,273,31
org.apache.hive.beeline.HiveSchemaHelper_java,273,31
org.apache.hadoop.hive.ql.exec.mr.ExecDriver_java,261,33
org.apache.hadoop.hive.serde2.objectinspector.ObjectInspectorConverters_java,259,34
org.apache.hadoop.hive.ql.plan.TezWork_java,256,35
org.apache.hadoop.hive.ql.exec.MapJoinOperator_java,255,36
org.apache.hadoop.hive.ql.io.orc.OrcFile_java,252,37
org.apache.hadoop.hive.ql.exec.ReduceSinkOperator_java,251,38
org.apache.hadoop.hive.ql.io.orc.ReaderImpl_java,250,39
org.apache.hadoop.hive.ql.QTestUtil_java,244,40
org.apache.hadoop.hive.ql.udf.generic.GenericUDFLeadLag_java,239,41
org.apache.hadoop.hive.ql.io.orc.RecordReaderImpl_java,201,42
org.apache.hadoop.hive.ql.exec.PTFOperator_java,201,42
org.apache.hadoop.hive.ql.exec.persistence.HashMapWrapper_java,201,42
org.apache.hadoop.hive.metastore.api.SkewedInfo_java,200,45
org.apache.hadoop.hive.ql.optimizer.ConvertJoinMapJoin_java,198,46
org.apache.hadoop.hive.ql.exec.vector.VectorReduceSinkOperator_java,191,47
org.apache.hadoop.hive.ql.metadata.Hive_java,188,48
org.apache.hive.hcatalog.templeton.Server_java,186,49
org.apache.hadoop.hive.ql.io.orc.WriterImpl_java,184,50
org.apache.hadoop.hive.ql.exec.tez.TezProcessor_java,179,51
org.apache.hadoop.hive.ql.exec.persistence.MapJoinRowContainer_java,171,52
org.apache.hadoop.hive.ql.optimizer.ReduceSinkMapJoinProc_java,171,52
org.apache.hadoop.hive.ql.session.SessionState_java,167,54
org.apache.hadoop.hive.ql.udf.generic.GenericUDAFSumList_java,160,55
org.apache.hadoop.hive.ql.optimizer.LimitPushdownOptimizer_java,158,56
org.apache.hadoop.hive.shims.HadoopShims_java,151,57
