file,bugChurn,rank
org.apache.hadoop.hive.metastore.api.ThriftHiveMetastore_java,5149,1
org.apache.hadoop.hive.shims.HadoopShimsSecure_java,1596,2
org.apache.hadoop.hive.shims.Hadoop23Shims_java,1467,3
org.apache.hadoop.hive.thrift.TokenStoreDelegationTokenSecretManager_java,1221,4
org.apache.hadoop.hive.metastore.HiveMetaStore_java,1024,5
org.apache.hadoop.hive.thrift.ZooKeeperTokenStore_java,1023,6
org.apache.hadoop.hive.metastore.DummyRawStoreForJdoConnection_java,507,7
org.apache.hadoop.hive.ql.exec.DDLTask_java,431,8
org.apache.hadoop.hive.conf.HiveConf_java,413,9
org.apache.hadoop.hive.ql.parse.SemanticAnalyzer_java,368,10
org.apache.hadoop.hive.metastore.ObjectStore_java,350,11
org.apache.hadoop.hive.ql.exec.Utilities_java,323,12
org.apache.hadoop.hive.ql.hooks.Entity_java,299,13
org.apache.hadoop.hive.thrift.MemoryTokenStore_java,297,14
org.apache.hadoop.hive.ql.metadata.Hive_java,293,15
org.apache.hadoop.hive.ql.ppd.OpProcFactory_java,286,16
org.apache.hadoop.hive.ql.plan.ConditionalResolverMergeFiles_java,272,17
org.apache.hadoop.hive.thrift.DelegationTokenSecretManager_java,270,18
org.apache.hadoop.hive.ql.optimizer.GenMRUnion1_java,254,19
org.apache.hadoop.hive.ql.Driver_java,251,20
org.apache.hadoop.hive.ql.parse.DDLSemanticAnalyzer_java,240,21
org.apache.hadoop.hive.ql.hooks.WriteEntity_java,237,22
org.apache.hadoop.hive.metastore.HiveMetaStoreClient_java,232,23
org.apache.hadoop.hive.ql.optimizer.physical.MapJoinResolver_java,224,24
org.apache.hadoop.hive.thrift.client.TUGIAssumingTransport_java,222,25
org.apache.hadoop.hive.ql.QTestUtil_java,221,26
org.apache.hadoop.hive.cli.CliDriver_java,211,27
org.apache.hadoop.security.token.delegation.HiveDelegationTokenSupport_java,204,28
org.apache.hadoop.hive.ql.lockmgr.zookeeper.ZooKeeperHiveLockManager_java,196,29
org.apache.hadoop.hive.ql.plan.ConditionalResolverCommonJoin_java,182,30
org.apache.hadoop.hive.ql.optimizer.physical.LocalMapJoinProcFactory_java,177,31
org.apache.hadoop.hive.ql.exec.MoveTask_java,174,32
org.apache.hadoop.hive.ql.io.RCFile_java,162,33
org.apache.hadoop.hive.ql.optimizer.MapJoinProcessor_java,157,34
org.apache.hadoop.hive.thrift.DelegationTokenIdentifier_java,156,35
org.apache.hadoop.hive.ql.hooks.ReadEntity_java,143,36
