file,bugChurn,rank
org.apache.hadoop.hive.ql.parse.SemanticAnalyzer_java,754,1
org.apache.hadoop.hive.conf.HiveConf_java,527,2
org.apache.hadoop.hive.ql.exec.vector.VectorReduceSinkOperator_java,499,3
org.apache.hadoop.hive.thrift.ZooKeeperTokenStore_java,441,4
org.apache.hadoop.hive.ql.exec.vector.expressions.aggregates.VectorUDAFCountMerge_java,400,5
org.apache.hadoop.hive.ql.exec.vector.VectorizedBatchUtil_java,395,6
org.apache.hadoop.hive.ql.exec.DDLTask_java,337,7
org.apache.hadoop.hive.ql.exec.tez.DynamicPartitionPruner_java,328,8
org.apache.hadoop.hive.ql.io.CombineHiveInputFormat_java,323,9
org.apache.hadoop.hive.metastore.MetaStoreDirectSql_java,316,10
org.apache.hadoop.hive.metastore.txn.TxnDbUtil_java,300,11
org.apache.hadoop.hive.ql.exec.Utilities_java,282,12
org.apache.hadoop.hive.ql.exec.AbstractFileMergeOperator_java,280,13
org.apache.hadoop.hive.ql.exec.vector.VectorizationContext_java,259,14
org.apache.hadoop.hive.ql.io.merge.MergeFileWork_java,239,15
org.apache.hadoop.hive.ql.exec.tez.MergeFileRecordProcessor_java,238,16
org.apache.hadoop.hive.ql.exec.tez.CustomPartitionVertex_java,237,17
org.apache.hadoop.hive.ql.io.merge.MergeFileTask_java,231,18
org.apache.hadoop.hive.ql.optimizer.physical.Vectorizer_java,228,19
org.apache.hadoop.hive.ql.exec.OrcFileMergeOperator_java,222,20
org.apache.hadoop.hive.serde2.OpenCSVSerde_java,210,21
org.apache.hive.hcatalog.templeton.tool.ZooKeeperStorage_java,209,22
org.apache.hadoop.hive.ql.io.parquet.write.DataWritableWriter_java,201,23
org.apache.hive.beeline.HiveSchemaHelper_java,200,24
org.apache.hadoop.hive.serde2.lazybinary.LazyBinaryUnion_java,196,25
org.apache.hadoop.hive.ql.exec.tez.DagUtils_java,192,26
org.apache.hadoop.hive.ql.parse.RowResolver_java,169,27
org.apache.hadoop.hive.ql.session.SessionState_java,167,28
org.apache.hive.beeline.HiveSchemaTool_java,167,28
org.apache.hive.hcatalog.api.HCatPartitionSpec_java,158,30
org.apache.hadoop.hive.metastore.HiveMetaStore_java,154,31
org.apache.hadoop.hive.ql.optimizer.GenMapRedUtils_java,149,32
org.apache.hive.hcatalog.mapreduce.TaskCommitContextRegistry_java,148,33
org.apache.hadoop.hive.shims.Hadoop23Shims_java,141,34
org.apache.hadoop.hive.ql.exec.tez.HiveSplitGenerator_java,135,35
org.apache.hadoop.hive.ql.optimizer.ppr.PartitionPruner_java,135,35
org.apache.hadoop.hive.metastore.MetaStoreFilterHook_java,131,37
org.apache.hadoop.hive.ql.optimizer.ConvertJoinMapJoin_java,127,38
org.apache.hadoop.hive.ql.exec.RCFileMergeOperator_java,125,39
org.apache.hadoop.hive.ql.security.authorization.plugin.sqlstd.SQLStdHiveAccessController_java,125,39
org.apache.hadoop.hive.metastore.ObjectStore_java,123,41
org.apache.hadoop.hive.ql.parse.DDLSemanticAnalyzer_java,123,41
org.apache.hadoop.hive.serde2.objectinspector.ThriftUnionObjectInspector_java,121,43
org.apache.hadoop.hive.ql.io.merge.MergeFileMapper_java,118,44
org.apache.hadoop.hive.metastore.HiveMetaStoreClient_java,117,45
org.apache.hadoop.hive.ql.metadata.Hive_java,116,46
org.apache.hadoop.hive.ql.parse.spark.GenSparkUtils_java,112,47
org.apache.hadoop.hive.metastore.DefaultMetaStoreFilterHookImpl_java,101,48
org.apache.hadoop.hive.ql.exec.tez.DataInputByteBuffer_java,98,49
org.apache.hadoop.hive.ql.exec.tez.TezTask_java,98,49
org.apache.hive.service.auth.HttpAuthUtils_java,91,51
org.apache.hive.hcatalog.api.HCatClientHMSImpl_java,89,52
org.apache.hadoop.hive.common.type.Decimal128_java,88,53
org.apache.hadoop.hive.ql.io.orc.WriterImpl_java,85,54
org.apache.hadoop.hive.ql.parse.ColumnStatsSemanticAnalyzer_java,82,55
org.apache.hadoop.hive.ql.exec.tez.tools.KeyValueInputMerger_java,82,55
org.apache.hadoop.hive.ql.Driver_java,79,57
org.apache.hadoop.hive.ql.optimizer.SkewJoinOptimizer_java,79,57
org.apache.hadoop.hive.metastore.txn.TxnHandler_java,76,59
org.apache.hive.hcatalog.templeton.SqoopDelegator_java,76,59
org.apache.hadoop.hive.ql.plan.FileMergeDesc_java,76,59
org.apache.hadoop.hive.shims.HadoopShimsSecure_java,76,59
org.apache.hive.beeline.DeprecatedSeparatedValuesOutputFormat_java,73,63
org.apache.hadoop.hive.ql.exec.tez.MapRecordProcessor_java,71,64
org.apache.hadoop.hive.ql.io.AcidUtils_java,70,65
org.apache.hive.hcatalog.templeton.tool.HDFSStorage_java,70,65
org.apache.hadoop.hive.schshim.FairSchedulerShim_java,70,65
org.apache.hadoop.hive.ql.parse.QBJoinTree_java,68,68
org.apache.hadoop.hive.ql.exec.FunctionRegistry_java,68,68
org.apache.hadoop.hive.ql.io.parquet.read.DataWritableReadSupport_java,67,70
org.apache.hive.service.auth.HiveAuthFactory_java,66,71
org.apache.hive.jdbc.Utils_java,65,72
org.apache.hadoop.hive.ql.exec.MapOperator_java,64,73
org.apache.hadoop.hive.serde2.objectinspector.ThriftObjectInspectorUtils_java,64,73
org.apache.hadoop.hive.ql.optimizer.ColumnPrunerProcFactory_java,63,75
org.apache.hadoop.hive.serde2.lazybinary.objectinspector.LazyBinaryUnionObjectInspector_java,63,75
org.apache.hive.hcatalog.templeton.tool.JobStateTracker_java,63,75
org.apache.hadoop.hive.ql.exec.FetchOperator_java,63,75
org.apache.hadoop.hive.ql.security.authorization.plugin.SettableConfigUpdater_java,63,75
org.apache.hive.hcatalog.api.HCatClient_java,60,80
org.apache.hadoop.hive.ql.util.ZooKeeperHiveHelper_java,60,80
