file,bugChurn,rank
org.apache.hive.beeline.HiveSchemaTool_java,1576,1
org.apache.hadoop.hive.ql.exec.vector.VectorRandomRowSource_java,1289,2
org.apache.hadoop.hive.ql.exec.vector.VectorHashKeyWrapperBatch_java,1097,3
org.apache.hadoop.hive.ql.io.parquet.convert.ETypeConverter_java,810,4
org.apache.hadoop.hive.ql.parse.SemanticAnalyzer_java,771,5
org.apache.hadoop.hive.ql.exec.vector.VectorizationContext_java,761,6
org.apache.hadoop.hive.ql.exec.vector.VectorHashKeyWrapper_java,682,7
org.apache.hadoop.hive.ql.exec.vector.expressions.VectorElt_java,504,8
org.apache.hadoop.hive.druid.serde.DruidSerDe_java,471,9
org.apache.hadoop.hive.ql.optimizer.calcite.rules.HiveRelDecorrelator_java,442,10
org.apache.hadoop.hive.ql.parse.TezCompiler_java,387,11
org.apache.hadoop.hive.ql.optimizer.physical.Vectorizer_java,378,12
org.apache.hadoop.hive.ql.io.orc.encoded.EncodedTreeReaderFactory_java,323,13
org.apache.hadoop.hive.ql.optimizer.stats.annotation.StatsRulesProcFactory_java,304,14
org.apache.hadoop.hive.ql.io.parquet.vector.VectorizedPrimitiveColumnReader_java,264,15
org.apache.hadoop.hive.metastore.ObjectStore_java,236,16
org.apache.hadoop.hive.ql.io.HiveInputFormat_java,231,17
org.apache.hadoop.hive.ql.exec.vector.expressions.ConstantVectorExpression_java,223,18
org.apache.hadoop.hive.ql.io.orc.VectorizedOrcAcidRowBatchReader_java,221,19
org.apache.hadoop.hive.ql.exec.vector.VectorExpressionDescriptor_java,216,20
org.apache.hadoop.hive.tools.GenVectorCode_java,214,21
org.apache.hadoop.hive.druid.DruidStorageHandler_java,214,21
org.apache.hadoop.hive.metastore.messaging.EventUtils_java,202,23
org.apache.hadoop.hive.ql.udf.UDFToString_java,181,24
org.apache.hadoop.hive.ql.exec.vector.expressions.CastTimestampToLong_java,180,25
org.apache.hadoop.hive.ql.parse.TypeCheckProcFactory_java,180,25
org.apache.hadoop.hive.ql.io.orc.encoded.EncodedReaderImpl_java,176,27
org.apache.hadoop.hive.llap.io.api.impl.LlapRecordReader_java,168,28
org.apache.hadoop.hive.ql.exec.spark.status.SparkJobMonitor_java,166,29
org.apache.hadoop.hive.ql.exec.vector.expressions.VectorExpressionWriterFactory_java,152,30
org.apache.hadoop.hive.ql.io.AcidUtils_java,148,31
org.apache.hadoop.hive.ql.exec.vector.mapjoin.fast.VectorMapJoinFastBytesHashTable_java,148,31
org.apache.hadoop.hive.metastore.txn.TxnHandler_java,147,33
