file,bugChurn,rank
org.apache.hadoop.hive.ql.parse.SemanticAnalyzer_java,855,1
org.apache.hadoop.hive.metastore.txn.TxnHandler_java,796,2
org.apache.hadoop.hive.hbase.SampleHBaseKeyFactory2_java,504,3
org.apache.hadoop.hive.metastore.AbstractTestAuthorizationApiAuthorizer_java,422,4
org.apache.hadoop.hive.metastore.txn.CompactionTxnHandler_java,418,5
org.apache.hadoop.hive.ql.exec.persistence.FlatRowContainer_java,401,6
org.apache.hadoop.hive.metastore.api.ThriftHiveMetastore_java,334,7
org.apache.hadoop.hive.ql.security.authorization.plugin.AuthorizationMetaStoreFilterHook_java,324,8
org.apache.hadoop.hive.metastore.ObjectStore_java,322,9
org.apache.hadoop.hive.hbase.SampleHBaseKeyFactory3_java,260,10
org.apache.hadoop.hive.ql.exec.GroupByOperator_java,249,11
org.apache.hadoop.hive.hbase.SampleHBaseKeyFactory_java,227,12
org.apache.hadoop.hive.ql.exec.DDLTask_java,216,13
org.apache.hadoop.hive.ql.optimizer.StatsOptimizer_java,193,14
org.apache.hadoop.hive.ql.exec.tez.SampleTezSessionState_java,186,15
org.apache.hadoop.hive.ql.io.parquet.convert.Repeated_java,176,16
org.apache.hadoop.hive.ql.io.parquet.convert.HiveCollectionConverter_java,171,17
org.apache.hadoop.hive.ql.io.orc.RecordReaderImpl_java,171,17
org.apache.hadoop.hive.ql.metadata.PartitionIterable_java,163,19
org.apache.hadoop.hive.metastore.HiveMetaStore_java,158,20
org.apache.hadoop.hive.ql.session.SessionState_java,152,21
org.apache.hadoop.hive.ql.io.parquet.convert.HiveStructConverter_java,139,22
org.apache.hadoop.hive.common.ValidReadTxnList_java,131,23
org.apache.hadoop.hive.ql.udf.generic.GenericUDFLevenshtein_java,128,24
org.apache.hadoop.hive.ql.udf.generic.AbstractTestGenericUDFOPNumeric_java,112,25
org.apache.hadoop.hive.ql.optimizer.ConvertJoinMapJoin_java,106,26
org.apache.hadoop.hive.contrib.metastore.hooks.SampleURLHook_java,98,27
org.apache.hadoop.hive.ql.exec.FunctionRegistry_java,96,28
org.apache.hadoop.hive.ql.optimizer.physical.Vectorizer_java,94,29
org.apache.hadoop.hive.metastore.txn.TxnDbUtil_java,88,30
org.apache.hadoop.hive.ql.metadata.Hive_java,85,31
org.apache.hadoop.hive.ql.exec.persistence.MapJoinKey_java,84,32
org.apache.hadoop.hive.ql.exec.mr.HadoopJobExecHelper_java,80,33
org.apache.hive.hcatalog.templeton.tool.TempletonUtils_java,80,33
org.apache.hadoop.hive.metastore.MetaStoreFilterHook_java,78,35
org.apache.hadoop.hive.ql.udf.generic.GenericUDFDateSub_java,74,36
org.apache.hadoop.hive.serde2.avro.SchemaToTypeInfo_java,74,36
org.apache.hadoop.hive.ql.udf.generic.GenericUDFDateAdd_java,74,36
org.apache.hadoop.hive.ql.io.parquet.convert.HiveGroupConverter_java,73,39
org.apache.hadoop.hive.ql.parse.CalcitePlanner_java,72,40
org.apache.hadoop.hive.ql.parse.DDLSemanticAnalyzer_java,72,40
org.apache.hadoop.hive.accumulo.LazyAccumuloRow_java,71,42
org.apache.hadoop.hive.shims.Hadoop23Shims_java,68,43
org.apache.hive.service.cli.CLIService_java,68,43
org.apache.hadoop.hive.shims.HadoopShimsSecure_java,66,45
org.apache.hadoop.hive.ql.udf.generic.GenericUDFInFile_java,65,46
org.apache.hadoop.hive.ql.io.parquet.read.ParquetRecordReaderWrapper_java,65,46
org.apache.hadoop.hive.ql.parse.BaseSemanticAnalyzer_java,64,48
org.apache.hadoop.hive.conf.HiveConf_java,60,49
org.apache.hadoop.hive.ql.udf.generic.NumDistinctValueEstimator_java,59,50
org.apache.hadoop.hive.serde2.lazy.LazyUnion_java,57,51
org.apache.hadoop.hive.hbase.LazyHBaseRow_java,56,52
org.apache.hadoop.hive.ql.parse.EximUtil_java,56,52
org.apache.hadoop.hive.hbase.HBaseStorageHandler_java,55,54
org.apache.hadoop.hive.ql.exec.SelectOperator_java,52,55
org.apache.hadoop.hive.metastore.DefaultMetaStoreFilterHookImpl_java,51,56
org.apache.hadoop.hive.ql.io.IOContext_java,49,57
org.apache.hive.hcatalog.templeton.tool.TrivialExecService_java,49,57
org.apache.hadoop.hive.ql.security.authorization.plugin.HiveAuthorizationValidator_java,48,59
org.apache.hive.beeline.HiveSchemaHelper_java,48,59
org.apache.hadoop.hive.ql.io.parquet.convert.ETypeConverter_java,47,61
org.apache.hive.common.util.HiveStringUtils_java,47,61
org.apache.hadoop.hive.serde2.lazy.LazyMap_java,46,63
org.apache.hadoop.hive.ql.security.authorization.plugin.HiveAuthorizer_java,45,64
org.apache.hadoop.hive.ql.udf.generic.GenericUDFDecode_java,44,65
org.apache.hive.service.ServiceUtils_java,44,65
org.apache.hadoop.hive.metastore.MetaStoreUtils_java,44,65
org.apache.hadoop.hive.ql.io.HiveContextAwareRecordReader_java,42,68
org.apache.hadoop.hive.ql.optimizer.ConstantPropagateProcFactory_java,42,68
org.apache.hadoop.hive.ql.exec.spark.session.SparkSessionManagerImpl_java,42,68
org.apache.hadoop.hive.ql.udf.UDFType_java,37,71
org.apache.hadoop.hive.metastore.HiveMetaStoreClient_java,36,72
org.apache.hadoop.hive.ql.parse.SubQueryUtils_java,36,72
org.apache.hadoop.hive.ql.optimizer.SimpleFetchOptimizer_java,36,72
org.apache.hadoop.hive.ql.parse.QBSubQuery_java,36,72
org.apache.hadoop.hive.ql.stats.StatsUtils_java,36,72
org.apache.hadoop.hive.ql.security.FolderPermissionBase_java,36,72
org.apache.hive.hcatalog.templeton.AppConfig_java,35,78
org.apache.hadoop.hive.ql.parse.GenTezWork_java,35,78
org.apache.hadoop.hive.ql.udf.generic.GenericUDFRound_java,33,80
org.apache.hadoop.hive.ql.exec.SparkHashTableSinkOperator_java,33,80
org.apache.hadoop.hive.ql.optimizer.stats.annotation.StatsRulesProcFactory_java,33,80
org.apache.hadoop.hive.ql.exec.persistence.HashMapWrapper_java,33,80
org.apache.hadoop.hive.serde2.lazy.LazyStruct_java,32,84
org.apache.hadoop.hive.ql.optimizer.ppr.PartitionPruner_java,32,84
org.apache.hadoop.hive.ql.io.parquet.timestamp.NanoTimeUtils_java,31,86
org.apache.hadoop.hive.ql.metadata.CheckJDOException_java,31,86
org.apache.hadoop.hive.ql.optimizer.physical.NullScanTaskDispatcher_java,29,88
org.apache.hadoop.hive.ql.optimizer.GlobalLimitOptimizer_java,28,89
org.apache.hadoop.hive.ql.io.orc.WriterImpl_java,27,90
org.apache.hadoop.hive.serde2.avro.AvroDeserializer_java,27,90
org.apache.hadoop.hive.ql.exec.vector.VectorGroupByOperator_java,27,90
org.apache.hadoop.hive.common.ValidTxnList_java,27,90
org.apache.hadoop.hive.ql.plan.GroupByDesc_java,26,94
org.apache.hadoop.hive.ql.udf.generic.GenericUDFFromUtcTimestamp_java,25,95
org.apache.hadoop.hive.serde2.lazy.LazyObject_java,24,96
org.apache.hadoop.hive.ql.io.parquet.convert.ConverterParent_java,24,96
org.apache.hive.beeline.SQLCompleter_java,24,96
org.apache.hadoop.hive.ql.security.authorization.plugin.HiveV1Authorizer_java,24,96
org.apache.hadoop.hive.ql.udf.generic.GenericUDAFSum_java,23,100
org.apache.hadoop.hive.serde2.lazy.LazyArray_java,23,100
org.apache.hive.ptest.execution.HostExecutor_java,23,100
org.apache.hadoop.hive.ql.udf.generic.GenericUDFAbs_java,22,103
org.apache.hadoop.hive.ql.txn.compactor.CompactorMR_java,22,103
org.apache.hadoop.hive.ql.security.authorization.plugin.HiveAuthorizerImpl_java,21,105
org.apache.hive.spark.client.SparkClientImpl_java,20,106
org.apache.hadoop.hive.ql.hooks.ATSHook_java,20,106
org.apache.hadoop.hive.serde2.avro.AvroLazyObjectInspector_java,20,106
org.apache.hadoop.hive.serde2.lazy.LazyBinary_java,20,106
org.apache.hadoop.hive.serde2.lazy.LazyNonPrimitive_java,20,106
org.apache.hadoop.hive.ql.io.parquet.convert.DataWritableRecordConverter_java,20,106
org.apache.hadoop.hive.ql.optimizer.calcite.translator.ExprNodeConverter_java,19,112
org.apache.hadoop.hive.ql.security.authorization.plugin.sqlstd.DummyHiveAuthorizationValidator_java,18,113
org.apache.hadoop.hive.ql.security.authorization.plugin.sqlstd.SQLStdHiveAuthorizationValidator_java,18,113
org.apache.hive.jdbc.HiveBaseResultSet_java,18,113
org.apache.hadoop.hive.ql.metadata.SessionHiveMetaStoreClient_java,18,113
org.apache.hive.ptest.execution.Phase_java,17,117
org.apache.hadoop.hive.ql.optimizer.GenMRTableScan1_java,17,117
org.apache.hadoop.hive.accumulo.serde.FirstCharAccumuloCompositeRowId_java,17,117
org.apache.hadoop.hive.ql.exec.vector.VectorColumnAssignFactory_java,17,117
org.apache.hadoop.hive.ql.parse.ProcessAnalyzeTable_java,17,117
org.apache.hive.service.cli.thrift.ThriftCLIService_java,16,122
org.apache.hive.hcatalog.mapreduce.FileOutputCommitterContainer_java,16,122
org.apache.hadoop.hive.ql.parse.QBParseInfo_java,16,122
org.apache.hadoop.hive.ql.exec.ExplainTask_java,16,122
org.apache.hadoop.hive.hbase.LazyHBaseCellMap_java,16,122
org.apache.hive.service.cli.session.SessionManager_java,16,122
org.apache.hadoop.hive.serde2.avro.InstanceCache_java,15,128
org.apache.hive.hcatalog.data.JsonSerDe_java,15,128
org.apache.hive.hcatalog.templeton.tool.HDFSCleanup_java,15,128
org.apache.hadoop.hive.ql.io.AcidUtils_java,14,131
org.apache.hadoop.hive.ql.lockmgr.DummyTxnManager_java,14,131
org.apache.hadoop.hive.ql.exec.mr.MapredLocalTask_java,14,131
org.apache.hadoop.hive.ql.optimizer.ColumnPrunerProcFactory_java,14,131
