file,bugChurn,rank
org.apache.hadoop.hive.ql.parse.SemanticAnalyzer_java,3228,1
org.apache.hadoop.hive.metastore.api.ThriftHiveMetastore_java,1326,2
org.apache.hadoop.hive.ql.exec.Operator_java,689,3
org.apache.hadoop.hive.ql.parse.DDLSemanticAnalyzer_java,586,4
org.apache.hadoop.hive.ql.optimizer.ColumnPrunerProcFactory_java,452,5
org.apache.hadoop.hive.ql.exec.CommonJoinOperator_java,433,6
org.apache.hadoop.hive.ql.exec.FileSinkOperator_java,427,7
org.apache.hadoop.hive.serde2.objectinspector.primitive.PrimitiveObjectInspectorUtils_java,400,8
org.apache.hadoop.hive.ql.exec.Utilities_java,390,9
org.apache.hadoop.hive.metastore.Warehouse_java,344,10
org.apache.hadoop.hive.ql.io.CombineHiveInputFormat_java,343,11
org.apache.hadoop.hive.ql.exec.MapJoinOperator_java,342,12
org.apache.hadoop.hive.ql.optimizer.GenMapRedUtils_java,312,13
org.apache.hadoop.hive.ql.parse.BaseSemanticAnalyzer_java,308,14
org.apache.hadoop.hive.serde2.objectinspector.primitive.PrimitiveObjectInspectorConverter_java,297,15
org.apache.hadoop.hive.ql.Context_java,294,16
org.apache.hadoop.hive.serde2.objectinspector.ObjectInspectorUtils_java,293,17
org.apache.hadoop.hive.ql.optimizer.ppr.PartitionPruner_java,287,18
org.apache.hadoop.hive.ql.io.HiveFileFormatUtils_java,284,19
org.apache.hadoop.hive.ql.parse.TypeCheckProcFactory_java,280,20
org.apache.hadoop.hive.ql.metadata.Hive_java,274,21
org.apache.hadoop.hive.ql.optimizer.ppr.ExprProcFactory_java,274,21
org.apache.hadoop.hive.ql.plan.PlanUtils_java,259,23
org.apache.hadoop.hive.ql.exec.MapOperator_java,249,24
org.apache.hadoop.hive.metastore.api.Schema_java,243,25
org.apache.hadoop.hive.ql.exec.FunctionRegistry_java,237,26
org.apache.hadoop.hive.ql.optimizer.GenMRUnion1_java,231,27
org.apache.hadoop.hive.ql.QTestUtil_java,223,28
org.apache.hadoop.hive.ql.exec.UnionOperator_java,218,29
org.apache.hadoop.hive.metastore.HiveMetaStoreClient_java,200,30
org.apache.hadoop.hive.ql.exec.FetchTask_java,197,31
org.apache.hadoop.hive.metastore.HiveAlterHandler_java,193,32
org.apache.hadoop.hive.ql.exec.SMBMapJoinOperator_java,191,33
org.apache.hadoop.hive.metastore.HiveMetaStore_java,184,34
org.apache.hadoop.hive.ql.exec.DDLTask_java,171,35
