file,bugChurn,rank
org.apache.ambari.server.state.cluster.ClusterImpl_java,1390,1
org.apache.ambari.server.controller.internal.ServiceResourceProvider_java,790,2
org.apache.ambari.server.agent.HeartbeatProcessor_java,784,3
org.apache.ambari.server.controller.internal.ComponentResourceProvider_java,616,4
org.apache.ambari.server.agent.HeartBeatHandler_java,612,5
org.apache.ambari.server.controller.AmbariManagementControllerImpl_java,532,6
org.apache.ambari.server.view.ViewDirectoryWatcher_java,530,7
org.apache.ambari.server.controller.internal.BlueprintConfigurationProcessor_java,496,8
org.apache.ambari.server.orm.dao.HostRoleCommandDAO_java,407,9
org.apache.ambari.server.controller.internal.AbstractProviderModule_java,355,10
org.apache.ambari.server.controller.KerberosHelperImpl_java,344,11
org.apache.ambari.server.controller.AmbariCustomCommandExecutionHelper_java,275,12
org.apache.ambari.server.state.stack.upgrade.ConfigureTask_java,260,13
org.apache.ambari.server.controller.AmbariServer_java,249,14
org.apache.ambari.server.controller.internal.TaskResourceProvider_java,246,15
org.apache.ambari.server.orm.AmbariJpaLocalTxnInterceptor_java,243,16
org.apache.ambari.server.state.svccomphost.ServiceComponentHostImpl_java,231,17
org.apache.ambari.server.agent.HeartbeatTestHelper_java,229,18
org.apache.ambari.server.serveraction.upgrades.SparkShufflePropertyConfig_java,224,19
org.apache.ambari.server.controller.AmbariManagementController_java,214,20
org.apache.ambari.server.orm.TransactionalLocks_java,210,21
org.apache.ambari.server.orm.DBAccessorImpl_java,207,22
org.apache.ambari.server.state.cluster.ClustersImpl_java,205,23
org.apache.ambari.server.topology.ClusterConfigurationRequest_java,197,24
org.apache.ambari.server.configuration.Configuration_java,197,24
org.apache.ambari.server.checks.PreviousUpgradeCompleted_java,184,26
org.apache.ambari.server.controller.utilities.state.DefaultServiceCalculatedState_java,171,27
org.apache.ambari.server.serveraction.upgrades.ConfigureAction_java,170,28
org.apache.ambari.server.upgrade.AbstractUpgradeCatalog_java,167,29
org.apache.ambari.server.controller.internal.UpgradeResourceProvider_java,164,30
org.apache.ambari.server.view.ViewRegistry_java,151,31
org.apache.ambari.annotations.TransactionalLock_java,148,32
org.apache.ambari.server.topology.TopologyManager_java,146,33
org.apache.ambari.server.controller.internal.HostStackVersionResourceProvider_java,143,34
org.apache.ambari.server.security.authorization.AmbariAuthorizationFilter_java,142,35
org.apache.ambari.server.controller.utilities.DatabaseChecker_java,140,36
org.apache.ambari.server.serveraction.upgrades.YarnConfigCalculation_java,139,37
org.apache.ambari.server.controller.internal.CalculatedStatus_java,139,37
org.apache.ambari.server.checks.HardcodedStackVersionPropertiesCheck_java,132,39
org.apache.ambari.server.controller.utilities.KerberosChecker_java,127,40
org.apache.ambari.server.state.stack.upgrade.Grouping_java,125,41
org.apache.ambari.server.topology.AsyncCallableService_java,124,42
org.apache.ambari.server.controller.AmbariActionExecutionHelper_java,120,43
org.apache.ambari.server.orm.dao.TopologyHostInfoDAO_java,116,44
org.apache.ambari.server.bootstrap.BSRunner_java,116,44
org.apache.ambari.server.controller.utilities.state.HDFSServiceCalculatedState_java,115,46
org.apache.ambari.server.state.stack.JsonOsFamilyRoot_java,114,47
org.apache.ambari.server.controller.utilities.state.HiveServiceCalculatedState_java,111,48
org.apache.ambari.server.serveraction.upgrades.FixLzoCodecPath_java,103,49
org.apache.ambari.server.controller.utilities.state.YARNServiceCalculatedState_java,102,50
org.apache.ambari.server.controller.utilities.BufferedThreadPoolExecutorCompletionService_java,98,51
org.apache.ambari.server.view.ViewContextImpl_java,98,51
org.apache.ambari.server.events.listeners.alerts.AlertReceivedListener_java,97,53
org.apache.ambari.server.controller.utilities.state.OozieServiceCalculatedState_java,96,54
org.apache.ambari.server.controller.utilities.state.HBaseServiceCalculatedState_java,96,54
org.apache.ambari.server.serveraction.upgrades.HiveZKQuorumConfigAction_java,95,56
org.apache.ambari.server.orm.dao.HostVersionDAO_java,95,56
org.apache.ambari.server.serveraction.upgrades.OozieConfigCalculation_java,94,58
org.apache.hadoop.metrics2.sink.timeline.AbstractTimelineMetricsSink_java,91,59
org.apache.ambari.server.controller.metrics.timeline.MetricsRequestHelper_java,91,59
org.apache.ambari.server.controller.internal.UserPrivilegeResourceProvider_java,91,59
org.apache.ambari.server.controller.utilities.ServiceCalculatedStateFactory_java,90,62
org.apache.ambari.server.serveraction.kerberos.AbstractPrepareKerberosServerAction_java,90,62
org.apache.ambari.view.filebrowser.DownloadService_java,89,64
org.apache.ambari.server.controller.metrics.timeline.AMSPropertyProvider_java,82,65
org.apache.hadoop.metrics2.sink.timeline.PostProcessingUtil_java,81,66
org.apache.ambari.server.api.services.stackadvisor.StackAdvisorBlueprintProcessor_java,80,67
org.apache.ambari.server.security.authorization.AuthorizationHelper_java,79,68
org.apache.ambari.server.serveraction.upgrades.ZooKeeperQuorumCalculator_java,75,69
org.apache.ambari.server.utils.CollectionPresentationUtils_java,73,70
org.apache.ambari.server.orm.dao.ClusterDAO_java,72,71
org.apache.ambari.server.controller.internal.StackArtifactResourceProvider_java,71,72
org.apache.ambari.server.controller.utilities.state.FlumeServiceCalculatedState_java,69,73
org.apache.ambari.server.orm.entities.HostRoleCommandEntity__java,68,74
org.apache.ambari.server.state.stack.upgrade.ConfigUpgradeChangeDefinition_java,68,74
org.apache.ambari.server.security.AbstractSecurityHeaderFilter_java,68,74
org.apache.ambari.server.checks.KafkaKerberosCheck_java,66,77
org.apache.ambari.server.controller.metrics.ThreadPoolEnabledPropertyProvider_java,66,77
org.apache.ambari.server.state.Clusters_java,66,77
org.apache.ambari.server.state.CheckHelper_java,62,80
org.apache.ambari.server.view.DirectoryWatcher_java,60,81
org.apache.ambari.server.topology.PersistedStateImpl_java,58,82
org.apache.ambari.server.utils.StageUtils_java,58,82
org.apache.ambari.server.serveraction.kerberos.CreatePrincipalsServerAction_java,58,82
org.apache.ambari.server.stack.MasterHostResolver_java,57,85
org.apache.ambari.server.controller.internal.ClusterStackVersionResourceProvider_java,56,86
org.apache.ambari.server.actionmanager.ActionDBAccessorImpl_java,55,87
org.apache.ambari.server.api.services.AmbariMetaInfo_java,55,87
org.apache.ambari.server.orm.entities.UpgradeEntity_java,53,89
org.apache.ambari.server.state.stack.UpgradePack_java,53,89
org.apache.ambari.server.controller.ActionExecutionContext_java,52,91
org.apache.ambari.server.agent.HeartbeatMonitor_java,51,92
org.apache.ambari.server.controller.ServiceConfigVersionResponse_java,50,93
org.apache.ambari.server.state.ServiceComponentImpl_java,49,94
org.apache.ambari.server.utils.JsonUtils_java,48,95
org.apache.ambari.server.topology.ClusterTopology_java,48,95
org.apache.ambari.server.controller.utilities.ScalingThreadPoolExecutor_java,48,95
org.apache.ambari.view.utils.ambari.ValidatorUtils_java,46,98
org.apache.ambari.server.controller.internal.HostResourceProvider_java,45,99
org.apache.ambari.server.orm.entities.HostEntity__java,44,100
org.apache.hadoop.metrics2.sink.timeline.cache.TimelineMetricsCache_java,44,100
org.apache.ambari.server.controller.MaintenanceStateHelper_java,44,100
org.apache.ambari.server.stack.ConfigurationDirectory_java,44,100
org.apache.ambari.server.controller.KerberosHelper_java,43,104
org.apache.ambari.server.controller.jmx.JMXPropertyProvider_java,43,104
org.apache.ambari.server.api.services.Result_java,41,106
org.apache.ambari.server.utils.AmbariPath_java,41,106
org.apache.ambari.server.state.kerberos.KerberosDescriptor_java,41,106
org.apache.ambari.server.controller.internal.AmbariPrivilegeResourceProvider_java,40,109
org.apache.ambari.server.state.Cluster_java,38,110
org.apache.ambari.server.api.rest.KdcServerReachabilityCheck_java,37,111
org.apache.hadoop.metrics2.sink.timeline.PrecisionLimitExceededException_java,36,112
org.apache.ambari.server.controller.metrics.timeline.cache.TimelineAppMetricCacheKey_java,36,112
org.apache.ambari.server.state.stack.upgrade.Task_java,35,114
org.apache.ambari.server.topology.LogicalRequest_java,35,114
org.apache.ambari.server.state.stack.upgrade.ColocatedGrouping_java,34,116
org.apache.ambari.server.alerts.StaleAlertRunnable_java,33,117
