file,bugChurn,rank
org.apache.cassandra.thrift.Cassandra_java,1192,1
org.apache.cassandra.db.ColumnFamilyStore_java,1061,2
org.apache.cassandra.service.StorageProxy_java,754,3
org.apache.cassandra.thrift.CassandraServer_java,335,4
org.apache.cassandra.thrift.ThriftValidation_java,329,5
org.apache.cassandra.config.CFMetaData_java,327,6
org.apache.cassandra.db.compaction.CompactionManager_java,308,7
org.apache.cassandra.utils.UUIDGen_java,219,8
org.apache.cassandra.io.sstable.SSTableIdentityIterator_java,185,9
org.apache.cassandra.service.ReadCallback_java,183,10
org.apache.cassandra.utils.ByteBufferUtil_java,179,11
org.apache.cassandra.service.StorageService_java,176,12
org.apache.cassandra.utils.MerkleTree_java,176,12
org.apache.cassandra.tools.SSTableExport_java,170,14
org.apache.cassandra.gms.Gossiper_java,167,15
org.apache.cassandra.db.HintedHandOffManager_java,162,16
org.apache.cassandra.db.commitlog.CommitLog_java,135,17
org.apache.cassandra.db.commitlog.CommitLogSegment_java,124,18
org.apache.cassandra.net.MessagingService_java,121,19
org.apache.cassandra.db.marshal.UUIDType_java,118,20
org.apache.cassandra.thrift.KsDef_java,115,21
org.apache.cassandra.concurrent.DebuggableThreadPoolExecutor_java,97,22
org.apache.cassandra.db.Memtable_java,95,23
org.apache.cassandra.io.sstable.SSTable_java,75,24
org.apache.cassandra.io.util.FileUtils_java,69,25
org.apache.cassandra.config.ColumnDefinition_java,68,26
org.apache.cassandra.hadoop.ConfigHelper_java,66,27
org.apache.cassandra.db.compaction.CompactionTask_java,64,28
org.apache.cassandra.thrift.Column_java,64,28
org.apache.cassandra.dht.BootStrapper_java,59,30
org.apache.cassandra.concurrent.DebuggableScheduledThreadPoolExecutor_java,53,31
org.apache.cassandra.config.DatabaseDescriptor_java,52,32
org.apache.cassandra.service.AsyncRepairCallback_java,51,33
org.apache.cassandra.Util_java,46,34
org.apache.cassandra.dht.RandomPartitioner_java,44,35
org.apache.cassandra.concurrent.JMXEnabledThreadPoolExecutor_java,43,36
org.apache.cassandra.net.IncomingTcpConnection_java,42,37
org.apache.cassandra.locator.AbstractReplicationStrategy_java,40,38
org.apache.cassandra.gms.FailureDetector_java,32,39
org.apache.cassandra.db.compaction.AbstractCompactionTask_java,30,40
org.apache.cassandra.service.DatacenterSyncWriteResponseHandler_java,30,40
org.apache.cassandra.thrift.ConsistencyLevel_java,27,42
org.apache.cassandra.service.MigrationManager_java,27,42
org.apache.cassandra.dht.OrderPreservingPartitioner_java,26,44
org.apache.cassandra.service.WriteResponseHandler_java,25,45
org.apache.cassandra.locator.DynamicEndpointSnitch_java,25,45
org.apache.cassandra.io.sstable.Descriptor_java,24,47
org.apache.cassandra.SchemaLoader_java,24,47
org.apache.cassandra.locator.NetworkTopologyStrategy_java,24,47
org.apache.cassandra.service.DatacenterWriteResponseHandler_java,23,50
org.apache.cassandra.locator.TokenMetadata_java,21,51
org.apache.cassandra.tools.NodeProbe_java,21,51
org.apache.cassandra.utils.BloomFilterSerializer_java,21,51
org.apache.cassandra.concurrent.StageManager_java,17,54
org.apache.cassandra.db.ColumnFamilyStoreMBean_java,16,55
org.apache.cassandra.db.CounterMutationVerbHandler_java,14,56
org.apache.cassandra.concurrent.JMXEnabledThreadPoolExecutorMBean_java,13,57
org.apache.cassandra.locator.PropertyFileSnitch_java,13,57
org.apache.cassandra.service.StorageProxyMBean_java,12,59
org.apache.cassandra.db.marshal.UTF8Type_java,12,59
org.apache.cassandra.cache.AutoSavingCache_java,12,59
org.apache.cassandra.utils.EstimatedHistogram_java,12,59
org.apache.cassandra.db.compaction.CompactionController_java,11,63
org.apache.cassandra.utils.StatusLogger_java,10,64
org.apache.cassandra.service.ClientState_java,10,64
org.apache.cassandra.db.ReadCommand_java,10,64
org.apache.cassandra.tools.BulkLoader_java,10,64
org.apache.cassandra.service.StorageServiceMBean_java,10,64
org.apache.cassandra.net.OutboundTcpConnection_java,9,69
org.apache.cassandra.io.sstable.SSTableUtils_java,9,69
org.apache.cassandra.net.ResponseVerbHandler_java,9,69
org.apache.cassandra.db.marshal.TimeUUIDType_java,8,72
org.apache.cassandra.db.marshal.IntegerType_java,7,73
org.apache.cassandra.utils.ExpiringMap_java,5,74
org.apache.cassandra.concurrent.JMXConfigurableThreadPoolExecutor_java,5,74
org.apache.cassandra.cache.InstrumentingCache_java,5,74
org.apache.cassandra.service.TruncateResponseHandler_java,5,74
org.apache.cassandra.utils.FBUtilities_java,5,74
org.apache.cassandra.locator.SimpleStrategy_java,4,79
org.apache.cassandra.locator.RackInferringSnitch_java,4,79
org.apache.cassandra.io.sstable.SSTableLoader_java,4,79
org.apache.cassandra.db.marshal.LongType_java,4,79
org.apache.cassandra.db.CounterMutation_java,4,79
org.apache.cassandra.utils.KeyGenerator_java,4,79
org.apache.cassandra.db.marshal.AsciiType_java,4,79
org.apache.cassandra.db.marshal.LexicalUUIDType_java,4,79
org.apache.cassandra.service.AbstractWriteResponseHandler_java,4,79
org.apache.cassandra.concurrent.Stage_java,4,79
org.apache.cassandra.locator.OldNetworkTopologyStrategy_java,3,89
org.apache.cassandra.dht.Token_java,3,89
org.apache.cassandra.db.TruncateVerbHandler_java,3,89
org.apache.cassandra.db.marshal.CounterColumnType_java,2,92
org.apache.cassandra.hadoop.ColumnFamilySplit_java,2,92
org.apache.cassandra.io.util.FileDataInput_java,2,92
org.apache.cassandra.net.MessageDeliveryTask_java,2,92
org.apache.cassandra.gms.EndpointState_java,2,92
org.apache.cassandra.db.Truncation_java,2,92
org.apache.cassandra.concurrent.JMXConfigurableThreadPoolExecutorMBean_java,2,92
org.apache.cassandra.config.Config_java,1,99
