file,bugChurn,rank
org.apache.cassandra.thrift.Cassandra_java,8245,1
org.apache.cassandra.db.ColumnFamilyStore_java,1168,2
org.apache.cassandra.service.StorageService_java,1139,3
org.apache.cassandra.thrift.CassandraServer_java,940,4
org.apache.cassandra.config.CFMetaData_java,857,5
org.apache.cassandra.service.StorageProxy_java,581,6
org.apache.cassandra.thrift.KsDef_java,569,7
org.apache.cassandra.service.ClientState_java,506,8
org.apache.cassandra.db.commitlog.CommitLog_java,386,9
org.apache.cassandra.thrift.CfDef_java,381,10
org.apache.cassandra.config.DatabaseDescriptor_java,366,11
org.apache.cassandra.service.DatacenterSyncWriteResponseHandler_java,227,12
org.apache.cassandra.service.WriteResponseHandler_java,214,13
org.apache.cassandra.locator.AbstractReplicationStrategy_java,212,14
org.apache.cassandra.auth.AuthenticatedUser_java,206,15
org.apache.cassandra.gms.Gossiper_java,166,16
org.apache.cassandra.service.DatacenterWriteResponseHandler_java,138,17
org.apache.cassandra.gms.ApplicationState_java,133,18
org.apache.cassandra.config.ColumnDefinition_java,117,19
org.apache.cassandra.utils.FBUtilities_java,108,20
org.apache.cassandra.locator.AbstractEndpointSnitch_java,93,21
org.apache.cassandra.utils.ByteBufferUtil_java,90,22
org.apache.cassandra.io.sstable.SSTable_java,75,23
org.apache.cassandra.auth.AllowAllAuthenticator_java,63,24
org.apache.cassandra.db.commitlog.CommitLogSegment_java,61,25
org.apache.cassandra.gms.EndpointState_java,59,26
org.apache.cassandra.service.TruncateResponseHandler_java,56,27
org.apache.cassandra.locator.TokenMetadata_java,56,27
org.apache.cassandra.service.AbstractWriteResponseHandler_java,55,29
org.apache.cassandra.utils.EstimatedHistogram_java,54,30
org.apache.cassandra.io.util.FileUtils_java,53,31
org.apache.cassandra.locator.IEndpointSnitch_java,52,32
org.apache.cassandra.dht.BootStrapper_java,48,33
org.apache.cassandra.streaming.ReplicationFinishedVerbHandler_java,44,34
org.apache.cassandra.tools.NodeProbe_java,43,35
org.apache.cassandra.locator.DynamicEndpointSnitch_java,42,36
org.apache.cassandra.Util_java,37,37
org.apache.cassandra.db.HintedHandOffManager_java,37,37
org.apache.cassandra.hadoop.ConfigHelper_java,36,39
org.apache.cassandra.auth.IAuthenticator_java,35,40
org.apache.cassandra.db.DecoratedKey_java,34,41
org.apache.cassandra.service.StorageServiceMBean_java,29,42
org.apache.cassandra.service.MigrationManager_java,27,43
org.apache.cassandra.thrift.AuthenticationRequest_java,23,44
org.apache.cassandra.thrift.ThriftValidation_java,22,45
org.apache.cassandra.thrift.SlicePredicate_java,21,46
org.apache.cassandra.thrift.AuthorizationException_java,21,46
org.apache.cassandra.thrift.NotFoundException_java,21,46
org.apache.cassandra.thrift.KeySlice_java,21,46
org.apache.cassandra.thrift.InvalidRequestException_java,21,46
org.apache.cassandra.thrift.TokenRange_java,21,46
org.apache.cassandra.thrift.Mutation_java,21,46
org.apache.cassandra.thrift.ColumnPath_java,21,46
org.apache.cassandra.thrift.TimedOutException_java,21,46
org.apache.cassandra.thrift.ConsistencyLevel_java,21,46
org.apache.cassandra.thrift.KeyRange_java,21,46
org.apache.cassandra.thrift.UnavailableException_java,21,46
org.apache.cassandra.thrift.SliceRange_java,21,46
org.apache.cassandra.thrift.AuthenticationException_java,21,46
org.apache.cassandra.thrift.ColumnParent_java,21,46
org.apache.cassandra.thrift.Deletion_java,21,46
org.apache.cassandra.thrift.Column_java,21,46
org.apache.cassandra.thrift.ColumnOrSuperColumn_java,21,46
org.apache.cassandra.thrift.SuperColumn_java,21,46
org.apache.cassandra.tools.SSTableExport_java,20,65
org.apache.cassandra.net.IncomingTcpConnection_java,20,65
org.apache.cassandra.dht.LocalPartitioner_java,19,67
org.apache.cassandra.locator.PropertyFileSnitch_java,18,68
org.apache.cassandra.gms.VersionedValue_java,15,69
org.apache.cassandra.gms.FailureDetector_java,14,70
org.apache.cassandra.net.MessagingService_java,14,70
org.apache.cassandra.locator.RackInferringSnitch_java,12,72
org.apache.cassandra.dht.AbstractBounds_java,12,72
org.apache.cassandra.locator.SimpleSnitch_java,9,74
org.apache.cassandra.config.Config_java,9,74
org.apache.cassandra.net.OutboundTcpConnection_java,7,76
org.apache.cassandra.io.util.FileDataInput_java,6,77
org.apache.cassandra.dht.Range_java,6,77
org.apache.cassandra.service.StorageProxyMBean_java,6,77
org.apache.cassandra.thrift.CustomTThreadPoolServer_java,6,77
org.apache.cassandra.io.sstable.SSTableUtils_java,5,81
org.apache.cassandra.scheduler.RoundRobinScheduler_java,5,81
org.apache.cassandra.db.ColumnFamilyStoreMBean_java,5,81
org.apache.cassandra.locator.NetworkTopologyStrategy_java,4,84
org.apache.cassandra.concurrent.StageManager_java,4,84
org.apache.cassandra.db.marshal.IntegerType_java,4,84
org.apache.cassandra.dht.RandomPartitioner_java,4,84
org.apache.cassandra.gms.FailureDetectorMBean_java,2,88
org.apache.cassandra.db.Memtable_java,2,88
org.apache.cassandra.utils.GuidGenerator_java,2,88
org.apache.cassandra.locator.OldNetworkTopologyStrategy_java,2,88
