file,bugChurn,rank
org.apache.hadoop.hbase.rest.client.Client_java,674,1
org.apache.hadoop.hbase.io.asyncfs.FanOutOneBlockAsyncDFSOutputHelper_java,565,2
org.apache.hadoop.hbase.regionserver.DelegatingKeyValueScanner_java,342,3
org.apache.hadoop.hbase.regionserver.RSRpcServices_java,317,4
org.apache.hadoop.hbase.mob.compactions.PartitionedMobCompactor_java,279,5
org.apache.hadoop.hbase.util.FSTableDescriptors_java,255,6
org.apache.hadoop.hbase.HBaseTestingUtility_java,236,7
org.apache.hadoop.hbase.MetaTableAccessor_java,234,8
org.apache.hadoop.hbase.io.asyncfs.FanOutOneBlockAsyncDFSOutputSaslHelper_java,213,9
org.apache.hadoop.hbase.replication.regionserver.ReplicationSource_java,212,10
org.apache.hadoop.hbase.regionserver.HRegion_java,207,11
org.apache.hadoop.hbase.client.HTable_java,192,12
org.apache.hadoop.hbase.replication.regionserver.ReplicationSourceManager_java,178,13
org.apache.hadoop.hbase.exceptions.ScannerResetException_java,150,14
org.apache.hadoop.hbase.util.ClassSize_java,142,15
org.apache.hadoop.hbase.security.NettyHBaseSaslRpcClientHandler_java,142,15
org.apache.hadoop.hbase.mapreduce.LoadIncrementalHFiles_java,128,17
org.apache.hadoop.hbase.master.HMaster_java,127,18
org.apache.hadoop.hbase.security.token.SecureTestCluster_java,123,19
org.apache.hadoop.hbase.replication.regionserver.Replication_java,119,20
org.apache.hadoop.hbase.io.hfile.HFilePrettyPrinter_java,110,21
org.apache.hadoop.hbase.master.balancer.BalancerTestBase_java,101,22
org.apache.hadoop.hbase.regionserver.CellFlatMap_java,100,23
org.apache.hadoop.hbase.io.TimeRange_java,99,24
org.apache.hadoop.hbase.master.SplitLogManager_java,95,25
org.apache.hadoop.hbase.util.HBaseFsck_java,83,26
org.apache.hadoop.hbase.rest.client.RemoteHTable_java,82,27
org.apache.hadoop.hbase.HTableDescriptor_java,81,28
org.apache.hadoop.hbase.zookeeper.InstancePending_java,80,29
org.apache.hadoop.hbase.replication.regionserver.MetricsReplicationSourceSourceImpl_java,79,30
org.apache.hadoop.hbase.client.ScannerCallable_java,78,31
org.apache.hadoop.hbase.client.AsyncProcess_java,77,32
org.apache.hadoop.hbase.ipc.RpcServer_java,76,33
org.apache.hadoop.hbase.tool.Canary_java,75,34
org.apache.hadoop.hbase.regionserver.SegmentScanner_java,72,35
org.apache.hadoop.hbase.client.AsyncRequestFutureImpl_java,64,36
org.apache.hadoop.hbase.rest.client.Response_java,63,37
org.apache.hadoop.hbase.regionserver.StoreFileWriter_java,61,38
org.apache.hadoop.hbase.client.HBaseAdmin_java,61,38
org.apache.hadoop.hbase.mapreduce.PutSortReducer_java,61,38
org.apache.hadoop.hbase.io.hfile.HFileBlockIndex_java,59,41
org.apache.hadoop.hbase.io.hfile.LruBlockCache_java,58,42
org.apache.hadoop.hbase.security.NettyHBaseSaslRpcClient_java,58,42
org.apache.hadoop.hbase.SslRMIServerSocketFactorySecure_java,57,44
org.apache.hadoop.hbase.master.CatalogJanitor_java,57,44
org.apache.hadoop.hbase.HConstants_java,56,46
org.apache.hadoop.hbase.CellUtil_java,56,46
org.apache.hadoop.hbase.master.MasterCoprocessorHost_java,55,48
org.apache.hadoop.hbase.ipc.AbstractTestIPC_java,55,48
org.apache.hadoop.hbase.regionserver.StoreScanner_java,54,50
org.apache.hadoop.hbase.rest.RowResource_java,54,50
org.apache.hadoop.hbase.master.procedure.MasterProcedureTestingUtility_java,54,50
org.apache.hadoop.hbase.mapred.TableOutputFormat_java,53,53
org.apache.hadoop.hbase.quotas.OperationQuota_java,53,53
org.apache.hadoop.hbase.zookeeper.PendingWatcher_java,53,53
org.apache.hadoop.hbase.client.Scan_java,52,56
org.apache.hadoop.hbase.regionserver.RegionServerCoprocessorHost_java,51,57
org.apache.hadoop.hbase.client.Table_java,51,57
org.apache.hadoop.hbase.io.hfile.bucket.BucketCache_java,50,59
org.apache.hadoop.hbase.regionserver.StoreFileReader_java,49,60
org.apache.hadoop.hbase.io.hfile.bucket.BucketAllocator_java,49,60
org.apache.hadoop.hbase.regionserver.HRegionServer_java,49,60
org.apache.hadoop.hbase.AsyncConsoleAppender_java,48,63
org.apache.hadoop.hbase.protobuf.ProtobufUtil_java,48,63
org.apache.hadoop.hbase.security.SaslWrapHandler_java,46,65
org.apache.hadoop.hbase.quotas.DefaultOperationQuota_java,46,65
org.apache.hadoop.hbase.regionserver.wal.ProtobufLogReader_java,45,67
org.apache.hadoop.hbase.wal.WALFactory_java,45,67
org.apache.hadoop.hbase.replication.regionserver.MetricsReplicationGlobalSourceSource_java,43,69
org.apache.hadoop.hbase.ipc.IntegrationTestRpcClient_java,42,70
org.apache.hadoop.hbase.regionserver.StoreFileScanner_java,42,70
