file,bugChurn,rank
org.apache.hadoop.hbase.regionserver.HRegion_java,3056,1
org.apache.hadoop.hbase.thrift.generated.Hbase_java,1788,2
org.apache.hadoop.hbase.master.HMaster_java,1403,3
org.apache.hadoop.hbase.regionserver.HRegionServer_java,1200,4
org.apache.hadoop.hbase.master.ServerManager_java,884,5
org.apache.hadoop.hbase.regionserver.Store_java,706,6
org.apache.hadoop.hbase.HBaseTestingUtility_java,693,7
org.apache.hadoop.hbase.regionserver.MemStore_java,634,8
org.apache.hadoop.hbase.MiniHBaseCluster_java,520,9
org.apache.hadoop.hbase.client.HBaseAdmin_java,467,10
org.apache.hadoop.hbase.client.HTable_java,443,11
org.apache.hadoop.hbase.util.Bytes_java,364,12
org.apache.hadoop.hbase.LocalHBaseCluster_java,353,13
org.apache.hadoop.hbase.KeyValue_java,345,14
org.apache.hadoop.hbase.security.User_java,279,15
org.apache.hadoop.hbase.master.CatalogJanitor_java,263,16
org.apache.hadoop.hbase.client.Result_java,229,17
org.apache.hadoop.hbase.regionserver.ShutdownHook_java,227,18
org.apache.hadoop.hbase.io.hfile.HFile_java,210,19
org.apache.hadoop.hbase.regionserver.StoreScanner_java,182,20
org.apache.hadoop.hbase.HRegionInfo_java,180,21
org.apache.hadoop.hbase.util.FSUtils_java,156,22
org.apache.hadoop.hbase.master.ActiveMasterManager_java,156,22
org.apache.hadoop.hbase.replication.regionserver.ReplicationSource_java,155,24
org.apache.hadoop.hbase.zookeeper.ZKUtil_java,148,25
org.apache.hadoop.hbase.client.Scan_java,138,26
org.apache.hadoop.hbase.client.RetriesExhaustedWithDetailsException_java,137,27
org.apache.hadoop.hbase.replication.master.ReplicationLogCleaner_java,121,28
org.apache.hadoop.hbase.rest.RESTServlet_java,120,29
org.apache.hadoop.hbase.rest.RowSpec_java,113,30
org.apache.hadoop.hbase.util.PairOfSameType_java,112,31
org.apache.hadoop.hbase.replication.regionserver.ReplicationSourceManager_java,107,32
org.apache.hadoop.hbase.regionserver.handler.OpenRegionHandler_java,101,33
org.apache.hadoop.hbase.mapreduce.TableOutputFormat_java,92,34
org.apache.hadoop.hbase.client.MultiResponse_java,92,34
org.apache.hadoop.hbase.HBaseConfiguration_java,88,36
org.apache.hadoop.hbase.executor.ExecutorService_java,86,37
org.apache.hadoop.hbase.regionserver.StoreFile_java,77,38
org.apache.hadoop.hbase.util.MD5Hash_java,67,39
org.apache.hadoop.hbase.filter.SingleColumnValueFilter_java,56,40
org.apache.hadoop.hbase.mapreduce.TableMapReduceUtil_java,55,41
org.apache.hadoop.hbase.client.Get_java,55,41
org.apache.hadoop.hbase.filter.RegexStringComparator_java,51,43
org.apache.hadoop.hbase.regionserver.KeyValueHeap_java,48,44
org.apache.hadoop.hbase.util.Threads_java,48,44
org.apache.hadoop.hbase.filter.FilterList_java,46,46
org.apache.hadoop.hbase.master.DeadServer_java,46,46
org.apache.hadoop.hbase.PerformanceEvaluation_java,43,48
org.apache.hadoop.hbase.util.ClassSize_java,43,48
org.apache.hadoop.hbase.HConstants_java,42,50
org.apache.hadoop.hbase.regionserver.OnlineRegions_java,41,51
org.apache.hadoop.hbase.util.ManualEnvironmentEdge_java,39,52
org.apache.hadoop.hbase.master.LoadBalancer_java,39,52
org.apache.hadoop.hbase.MultithreadedTestUtil_java,38,54
org.apache.hadoop.hbase.regionserver.MemStoreFlusher_java,38,54
org.apache.hadoop.hbase.client.Put_java,37,56
org.apache.hadoop.hbase.client.Delete_java,37,56
